order_id,customer_name,sku_id,order_quantity,order_date,promised_dispatch_date,actual_dispatch_date,status,warehouse_zone,delay_days,priority,delay_reason,estimated_delivery_km,delivery_cost,route_id,vehicle_type
ORD-10039,Mamaearth,SKU-1014,49,2026-05-07,2026-05-10,2026-05-16,Delayed,Z-H,6,High,Picker Shortage,251,716.35,RT-08,Three Wheeler
ORD-10040,Ajio,SKU-1211,195,2026-05-12,2026-05-17,2026-05-15,Delivered,Z-A,0,High,,300,971.37,RT-06,HCV
ORD-10041,Reliance Retail,SKU-1076,76,2026-04-17,2026-04-18,2026-04-19,Dispatched,Z-C,1,Low,,315,934.89,RT-10,LCV
ORD-10042,BigBasket,SKU-1157,185,2026-04-16,2026-04-19,2026-04-22,Delayed,Z-G,3,High,Vehicle Breakdown,195,650.48,RT-05,HCV
ORD-10043,Myntra,SKU-1268,82,2026-05-08,2026-05-09,2026-05-09,Dispatched,Z-D,0,High,,232,756.5,RT-08,LCV
ORD-10044,FirstCry,SKU-1078,53,2026-05-03,2026-05-07,2026-05-12,Delayed,Z-E,5,High,Zone Congestion,425,1358.07,RT-09,LCV
ORD-10045,DMart,SKU-1105,190,2026-05-12,2026-05-16,2026-05-17,Dispatched,Z-B,1,High,,164,693.08,RT-11,HCV
ORD-10046,Mamaearth,SKU-1044,90,2026-04-29,2026-04-30,2026-04-30,Delivered,Z-A,0,Low,,393,1110.54,RT-04,LCV
ORD-10047,Swiggy Instamart,SKU-1102,54,2026-05-04,2026-05-07,,Pending,Z-H,6,Low,Zone Congestion,144,447.33,RT-05,LCV
ORD-10048,BigBasket,SKU-1007,164,2026-04-26,2026-05-01,2026-05-01,Delivered,Z-F,0,Low,,168,537.76,RT-12,HCV
ORD-10049,Urban Company,SKU-1293,67,2026-05-08,2026-05-09,2026-05-10,Dispatched,Z-H,1,High,,71,234.75,RT-11,LCV
ORD-10050,Flipkart,SKU-1054,103,2026-05-12,2026-05-13,2026-05-13,Dispatched,Z-H,0,Low,,187,595.61,RT-04,HCV
ORD-10051,Lenskart,SKU-1040,198,2026-04-19,2026-04-23,,Pending,Z-B,20,Low,Route Blocked,54,298.9,RT-11,HCV
ORD-10052,Ajio,SKU-1240,64,2026-04-13,2026-04-15,2026-04-15,Delivered,Z-F,0,Medium,,98,469.9,RT-11,LCV
ORD-10053,Swiggy Instamart,SKU-1166,121,2026-04-28,2026-04-29,2026-04-29,Delivered,Z-F,0,Medium,,241,863.94,RT-05,HCV
ORD-10054,Blinkit,SKU-1294,37,2026-04-27,2026-04-28,2026-04-30,Dispatched,Z-B,2,Medium,,289,934.86,RT-05,Three Wheeler
ORD-10055,JioMart,SKU-1211,66,2026-04-24,2026-04-26,,Pending,Z-H,17,Medium,Zone Congestion,179,549.56,RT-12,LCV
ORD-10056,Boat Lifestyle,SKU-1220,116,2026-04-25,2026-04-28,,Pending,Z-D,15,High,Zone Congestion,383,1240.22,RT-10,HCV
ORD-10057,Meesho,SKU-1058,156,2026-04-24,2026-04-28,2026-04-25,Dispatched,Z-H,0,High,,162,693.97,RT-02,HCV
ORD-10058,Mamaearth,SKU-1055,180,2026-04-17,2026-04-22,2026-04-26,Delayed,Z-F,4,Medium,Stock Unavailable,51,231.9,RT-03,HCV
ORD-10059,Boat Lifestyle,SKU-1000,198,2026-05-09,2026-05-11,,Pending,Z-E,2,Medium,Route Blocked,105,363.92,RT-06,HCV
ORD-10060,Urban Company,SKU-1291,178,2026-05-04,2026-05-08,2026-05-11,Delayed,Z-B,3,High,Documentation Error,438,1176.89,RT-05,HCV
ORD-10061,Flipkart,SKU-1189,145,2026-04-13,2026-04-14,2026-04-14,Delivered,Z-B,0,Medium,,448,1177.8,RT-07,HCV
ORD-10062,Boat Lifestyle,SKU-1201,165,2026-05-03,2026-05-07,2026-05-07,Dispatched,Z-D,0,Low,,93,401.22,RT-04,HCV
ORD-10063,Lenskart,SKU-1196,97,2026-04-17,2026-04-21,2026-04-19,Delivered,Z-C,0,High,,41,314.6,RT-03,LCV
ORD-10064,Meesho,SKU-1223,39,2026-05-11,2026-05-13,,Pending,Z-G,0,Medium,Documentation Error,324,904.95,RT-09,Three Wheeler
ORD-10065,Lenskart,SKU-1230,103,2026-05-02,2026-05-04,2026-05-03,Delivered,Z-H,0,Low,,126,543.03,RT-05,HCV
ORD-10066,Tata Cliq,SKU-1279,152,2026-05-02,2026-05-03,,Cancelled,Z-H,0,Low,,193,560.79,RT-08,HCV
ORD-10067,Reliance Retail,SKU-1072,191,2026-04-20,2026-04-25,,Cancelled,Z-E,0,Medium,,269,742.06,RT-10,HCV
ORD-10068,Reliance Retail,SKU-1125,125,2026-04-23,2026-04-24,2026-04-29,Delayed,Z-E,5,High,Loading Bay Bottleneck,278,939.63,RT-08,HCV
ORD-10069,Ajio,SKU-1262,125,2026-04-25,2026-04-28,2026-04-28,Dispatched,Z-E,0,High,,23,281.26,RT-10,HCV
ORD-10070,Urban Company,SKU-1288,71,2026-05-12,2026-05-16,,Pending,Z-A,0,Low,Weather Disruption,419,1281.85,RT-01,LCV
ORD-10071,Urban Company,SKU-1248,26,2026-05-09,2026-05-14,2026-05-12,Delivered,Z-E,0,High,,320,920.24,RT-05,Mini Truck
ORD-10072,BigBasket,SKU-1089,156,2026-04-20,2026-04-22,2026-04-25,Delayed,Z-C,3,Medium,Vehicle Breakdown,253,727.7,RT-09,HCV
ORD-10073,Flipkart,SKU-1175,26,2026-04-13,2026-04-15,,Pending,Z-C,28,Medium,Documentation Error,399,1143.29,RT-11,Three Wheeler
ORD-10074,Snapdeal,SKU-1107,152,2026-04-20,2026-04-23,2026-04-22,Delivered,Z-B,0,High,,90,391.0,RT-08,HCV
ORD-10075,Urban Company,SKU-1243,196,2026-04-13,2026-04-18,2026-04-17,Delivered,Z-H,0,Medium,,79,380.11,RT-07,HCV
ORD-10076,Amazon India,SKU-1147,119,2026-05-01,2026-05-04,,Cancelled,Z-A,0,High,,474,1367.82,RT-06,HCV
ORD-10077,Tata Cliq,SKU-1139,90,2026-05-05,2026-05-08,2026-05-11,Delayed,Z-G,3,Medium,Vehicle Breakdown,380,1167.97,RT-04,LCV
ORD-10078,FirstCry,SKU-1172,178,2026-04-21,2026-04-23,2026-04-22,Dispatched,Z-A,0,High,,11,180.31,RT-09,HCV
ORD-10079,BigBasket,SKU-1228,94,2026-05-06,2026-05-09,2026-05-07,Delivered,Z-A,0,Low,,52,194.22,RT-10,LCV
ORD-10080,Myntra,SKU-1062,186,2026-04-13,2026-04-14,2026-04-14,Delivered,Z-G,0,Low,,396,1264.97,RT-10,HCV
ORD-10081,Snapdeal,SKU-1056,183,2026-05-08,2026-05-11,2026-05-11,Delivered,Z-B,0,Low,,237,873.17,RT-05,HCV
ORD-10082,Tata Cliq,SKU-1165,70,2026-05-08,2026-05-09,2026-05-09,Delivered,Z-G,0,Medium,,175,736.49,RT-05,LCV
ORD-10083,Pharmeasy,SKU-1091,117,2026-05-11,2026-05-15,,Cancelled,Z-D,0,Low,,206,609.61,RT-08,HCV
ORD-10084,BigBasket,SKU-1073,143,2026-04-19,2026-04-23,2026-04-20,Delivered,Z-H,0,Low,,137,418.32,RT-02,HCV
ORD-10085,Reliance Retail,SKU-1292,191,2026-05-05,2026-05-09,2026-05-09,Delivered,Z-C,0,Low,,332,880.22,RT-01,HCV
ORD-10086,JioMart,SKU-1136,43,2026-04-21,2026-04-24,,Cancelled,Z-A,0,Low,,367,1202.48,RT-08,Three Wheeler
ORD-10087,Tata Cliq,SKU-1206,191,2026-04-19,2026-04-20,,Pending,Z-A,23,Medium,Route Blocked,67,359.31,RT-06,HCV
ORD-10088,Swiggy Instamart,SKU-1155,107,2026-05-12,2026-05-13,2026-05-14,Dispatched,Z-B,1,Medium,,394,1226.63,RT-11,HCV
ORD-10089,Myntra,SKU-1090,146,2026-05-12,2026-05-16,2026-05-19,Delayed,Z-G,3,Medium,Loading Bay Bottleneck,254,706.22,RT-11,HCV
ORD-10090,Ajio,SKU-1097,40,2026-05-12,2026-05-14,2026-05-13,Delivered,Z-H,0,Medium,,37,340.68,RT-11,Three Wheeler
ORD-10091,Meesho,SKU-1273,120,2026-04-13,2026-04-14,2026-04-14,Delivered,Z-F,0,Low,,26,216.38,RT-04,HCV
ORD-10092,FirstCry,SKU-1234,178,2026-04-16,2026-04-21,2026-04-21,Delivered,Z-D,0,High,,23,291.36,RT-08,HCV
ORD-10093,Amazon India,SKU-1241,163,2026-05-12,2026-05-14,2026-05-16,Delayed,Z-A,2,Medium,Stock Unavailable,468,1296.83,RT-02,HCV
ORD-10094,Ajio,SKU-1087,156,2026-05-11,2026-05-12,2026-05-12,Delivered,Z-B,0,High,,223,691.84,RT-12,HCV
ORD-10095,JioMart,SKU-1166,35,2026-04-22,2026-04-27,,Pending,Z-F,16,High,Stock Unavailable,308,863.36,RT-02,Mini Truck
ORD-10096,Pharmeasy,SKU-1072,198,2026-04-30,2026-05-02,2026-05-07,Delayed,Z-C,5,High,Stock Unavailable,73,257.49,RT-11,HCV
ORD-10097,Mamaearth,SKU-1192,45,2026-05-13,2026-05-17,2026-05-14,Delivered,Z-C,0,High,,366,1127.94,RT-05,Three Wheeler
ORD-10098,Meesho,SKU-1064,57,2026-05-09,2026-05-12,,Pending,Z-G,1,High,Picker Shortage,317,1015.42,RT-10,LCV
ORD-10099,Snapdeal,SKU-1255,161,2026-04-13,2026-04-14,,Pending,Z-E,29,Medium,Documentation Error,7,206.93,RT-04,HCV
ORD-10100,BigBasket,SKU-1271,29,2026-04-24,2026-04-27,,Cancelled,Z-D,0,Medium,,399,1204.12,RT-04,Three Wheeler
ORD-10101,Flipkart,SKU-1099,33,2026-04-18,2026-04-20,2026-04-24,Delayed,Z-H,4,High,Stock Unavailable,32,291.22,RT-05,Mini Truck
ORD-10102,Tata Cliq,SKU-1128,90,2026-04-24,2026-04-28,2026-04-25,Delivered,Z-C,0,High,,407,1074.77,RT-09,LCV
ORD-10103,BigBasket,SKU-1036,65,2026-04-20,2026-04-24,,Pending,Z-F,19,Medium,Vehicle Breakdown,387,1186.71,RT-06,LCV
ORD-10104,Nykaa,SKU-1056,88,2026-05-06,2026-05-07,2026-05-07,Delivered,Z-D,0,Medium,,461,1257.67,RT-08,LCV
ORD-10105,Boat Lifestyle,SKU-1248,18,2026-04-15,2026-04-19,2026-04-19,Delivered,Z-C,0,Medium,,196,574.1,RT-12,Two Wheeler
ORD-10106,Blinkit,SKU-1138,56,2026-05-03,2026-05-05,2026-05-04,Delivered,Z-E,0,High,,61,415.41,RT-08,LCV
ORD-10107,Tata Cliq,SKU-1087,199,2026-05-03,2026-05-05,,Cancelled,Z-C,0,Low,,492,1432.88,RT-03,HCV
ORD-10108,Boat Lifestyle,SKU-1283,63,2026-05-11,2026-05-15,,Cancelled,Z-H,0,High,,307,935.87,RT-08,LCV
ORD-10109,Pharmeasy,SKU-1007,191,2026-04-30,2026-05-02,2026-05-02,Delivered,Z-D,0,Low,,489,1309.74,RT-10,HCV
ORD-10110,Amazon India,SKU-1213,16,2026-05-12,2026-05-16,2026-05-21,Delayed,Z-A,5,Medium,Documentation Error,250,877.43,RT-12,Two Wheeler
ORD-10111,Ajio,SKU-1253,66,2026-05-11,2026-05-16,2026-05-22,Delayed,Z-G,6,High,Loading Bay Bottleneck,156,499.77,RT-02,LCV
ORD-10112,Amazon India,SKU-1245,176,2026-05-04,2026-05-06,2026-05-13,Delayed,Z-A,7,High,Picker Shortage,452,1355.78,RT-03,HCV
ORD-10113,Blinkit,SKU-1237,185,2026-04-23,2026-04-24,,Cancelled,Z-B,0,Medium,,462,1377.69,RT-09,HCV
ORD-10114,Flipkart,SKU-1151,114,2026-04-19,2026-04-22,2026-04-27,Delayed,Z-D,5,High,Loading Bay Bottleneck,381,1235.56,RT-09,HCV
ORD-10115,Blinkit,SKU-1026,33,2026-05-01,2026-05-04,,Pending,Z-A,9,Medium,Loading Bay Bottleneck,94,447.04,RT-12,Mini Truck
ORD-10116,Lenskart,SKU-1104,40,2026-05-03,2026-05-05,,Pending,Z-H,8,Low,Vehicle Breakdown,390,1211.25,RT-04,Three Wheeler
ORD-10117,Blinkit,SKU-1136,133,2026-04-22,2026-04-26,2026-04-23,Delivered,Z-F,0,Medium,,236,761.56,RT-09,HCV
ORD-10118,BigBasket,SKU-1240,186,2026-04-26,2026-05-01,,Cancelled,Z-H,0,Low,,193,732.48,RT-12,HCV
ORD-10119,Reliance Retail,SKU-1096,122,2026-05-11,2026-05-12,2026-05-12,Dispatched,Z-E,0,High,,60,241.19,RT-02,HCV
ORD-10120,DMart,SKU-1254,43,2026-04-16,2026-04-18,,Pending,Z-A,25,Medium,Documentation Error,354,1070.36,RT-03,Three Wheeler
ORD-10121,Blinkit,SKU-1215,118,2026-04-20,2026-04-21,2026-04-21,Delivered,Z-A,0,High,,432,1366.86,RT-11,HCV
ORD-10122,Swiggy Instamart,SKU-1210,153,2026-05-03,2026-05-06,,Pending,Z-H,7,Medium,Weather Disruption,295,820.49,RT-05,HCV
ORD-10123,Snapdeal,SKU-1133,63,2026-04-28,2026-05-01,,Cancelled,Z-A,0,High,,185,583.6,RT-03,LCV
ORD-10124,Mamaearth,SKU-1082,187,2026-04-26,2026-04-29,2026-04-27,Delivered,Z-C,0,High,,126,394.23,RT-06,HCV
ORD-10125,Boat Lifestyle,SKU-1064,117,2026-05-05,2026-05-08,2026-05-08,Delivered,Z-A,0,Low,,167,712.01,RT-03,HCV
ORD-10126,Blinkit,SKU-1229,143,2026-05-08,2026-05-13,2026-05-09,Dispatched,Z-G,0,Medium,,398,1081.35,RT-08,HCV
ORD-10127,Swiggy Instamart,SKU-1079,6,2026-04-20,2026-04-25,,Cancelled,Z-F,0,Low,,366,1038.89,RT-05,Two Wheeler
ORD-10128,Boat Lifestyle,SKU-1226,91,2026-04-21,2026-04-22,2026-04-23,Delayed,Z-C,1,Medium,Zone Congestion,162,461.2,RT-10,LCV
ORD-10129,Nykaa,SKU-1228,96,2026-05-11,2026-05-14,2026-05-14,Delivered,Z-D,0,Low,,274,790.54,RT-05,LCV
ORD-10130,Myntra,SKU-1011,26,2026-04-26,2026-04-30,2026-05-01,Delayed,Z-G,1,High,Loading Bay Bottleneck,313,983.77,RT-01,Three Wheeler
ORD-10131,JioMart,SKU-1075,188,2026-04-16,2026-04-20,2026-04-19,Dispatched,Z-A,0,Medium,,181,590.34,RT-08,HCV
ORD-10132,Lenskart,SKU-1044,60,2026-04-20,2026-04-24,2026-04-28,Delayed,Z-H,4,High,Documentation Error,378,1219.11,RT-03,LCV
ORD-10133,Boat Lifestyle,SKU-1044,41,2026-05-07,2026-05-10,,Pending,Z-F,3,High,Documentation Error,50,176.65,RT-11,Three Wheeler
ORD-10134,Tata Cliq,SKU-1089,147,2026-04-29,2026-05-04,2026-05-06,Delayed,Z-D,2,High,Weather Disruption,288,892.65,RT-05,HCV
ORD-10135,Boat Lifestyle,SKU-1155,131,2026-04-26,2026-04-30,2026-04-27,Delivered,Z-C,0,Medium,,158,684.01,RT-11,HCV
ORD-10136,Meesho,SKU-1063,172,2026-04-22,2026-04-25,2026-04-26,Dispatched,Z-D,1,High,,66,406.18,RT-08,HCV
ORD-10137,Reliance Retail,SKU-1185,153,2026-04-28,2026-05-03,2026-05-01,Dispatched,Z-H,0,Low,,423,1137.4,RT-09,HCV
ORD-10138,Boat Lifestyle,SKU-1008,71,2026-05-08,2026-05-13,2026-05-11,Delivered,Z-H,0,Low,,74,324.35,RT-01,LCV
ORD-10139,Pharmeasy,SKU-1184,112,2026-04-23,2026-04-26,2026-04-25,Delivered,Z-B,0,Low,,104,501.61,RT-03,HCV
ORD-10140,BigBasket,SKU-1085,144,2026-05-03,2026-05-06,2026-05-12,Delayed,Z-E,6,Medium,Loading Bay Bottleneck,54,318.61,RT-06,HCV
ORD-10141,DMart,SKU-1006,40,2026-04-27,2026-04-30,2026-05-01,Dispatched,Z-G,1,Medium,,476,1467.7,RT-02,Mini Truck
ORD-10142,DMart,SKU-1257,61,2026-04-17,2026-04-19,2026-04-24,Delayed,Z-B,5,High,Zone Congestion,64,414.71,RT-01,LCV
ORD-10143,Meesho,SKU-1178,84,2026-04-21,2026-04-24,2026-04-23,Delivered,Z-F,0,High,,368,1046.17,RT-12,LCV
ORD-10144,BigBasket,SKU-1113,37,2026-04-16,2026-04-18,2026-04-21,Delayed,Z-C,3,High,Zone Congestion,222,777.7,RT-02,Mini Truck
ORD-10145,Amazon India,SKU-1247,198,2026-04-30,2026-05-01,2026-05-01,Delivered,Z-A,0,Medium,,65,439.63,RT-01,HCV
ORD-10146,Reliance Retail,SKU-1154,175,2026-05-13,2026-05-14,2026-05-19,Delayed,Z-D,5,High,Picker Shortage,348,1007.88,RT-02,HCV
ORD-10147,DMart,SKU-1142,153,2026-05-02,2026-05-05,2026-05-05,Delivered,Z-D,0,Low,,296,807.08,RT-10,HCV
ORD-10148,Amazon India,SKU-1270,60,2026-04-21,2026-04-23,,Cancelled,Z-C,0,Low,,7,310.89,RT-02,LCV
ORD-10149,Myntra,SKU-1258,186,2026-04-28,2026-05-01,2026-05-03,Delayed,Z-H,2,High,Picker Shortage,432,1218.71,RT-07,HCV
ORD-10150,Tata Cliq,SKU-1109,136,2026-05-06,2026-05-10,2026-05-09,Delivered,Z-B,0,Medium,,61,332.43,RT-08,HCV
ORD-10151,Blinkit,SKU-1147,147,2026-04-20,2026-04-21,2026-04-21,Delivered,Z-B,0,Medium,,150,539.24,RT-12,HCV
ORD-10152,Urban Company,SKU-1227,62,2026-04-26,2026-04-30,2026-04-30,Delivered,Z-D,0,High,,463,1417.76,RT-08,LCV
ORD-10153,Blinkit,SKU-1091,8,2026-04-22,2026-04-26,2026-04-30,Delayed,Z-H,4,Medium,Zone Congestion,66,250.84,RT-07,Two Wheeler
ORD-10154,Snapdeal,SKU-1033,98,2026-05-07,2026-05-10,2026-05-09,Delivered,Z-B,0,High,,434,1241.18,RT-08,LCV
ORD-10155,Pharmeasy,SKU-1297,156,2026-05-05,2026-05-09,2026-05-11,Dispatched,Z-G,2,Medium,,266,784.72,RT-08,HCV
ORD-10156,BigBasket,SKU-1062,69,2026-04-28,2026-05-02,2026-04-30,Delivered,Z-A,0,High,,382,1018.21,RT-02,LCV
ORD-10157,Meesho,SKU-1013,50,2026-05-01,2026-05-06,2026-05-08,Delayed,Z-E,2,Medium,Zone Congestion,394,1054.13,RT-09,Three Wheeler
ORD-10158,Ajio,SKU-1103,80,2026-04-22,2026-04-26,,Pending,Z-E,17,Low,Loading Bay Bottleneck,419,1312.42,RT-09,LCV
ORD-10159,Amazon India,SKU-1016,115,2026-04-15,2026-04-16,2026-04-17,Dispatched,Z-G,1,Medium,,240,659.0,RT-03,HCV
ORD-10160,Lenskart,SKU-1155,185,2026-05-08,2026-05-12,2026-05-11,Dispatched,Z-G,0,Medium,,396,1067.35,RT-11,HCV
ORD-10161,Meesho,SKU-1283,180,2026-04-26,2026-05-01,,Pending,Z-C,12,Low,Stock Unavailable,205,628.35,RT-10,HCV
ORD-10162,JioMart,SKU-1180,77,2026-05-03,2026-05-04,2026-05-04,Delivered,Z-C,0,Medium,,183,709.89,RT-10,LCV
ORD-10163,Amazon India,SKU-1174,102,2026-05-10,2026-05-14,2026-05-13,Dispatched,Z-G,0,Medium,,33,297.81,RT-04,HCV
ORD-10164,Nykaa,SKU-1159,156,2026-05-11,2026-05-12,,Cancelled,Z-B,0,Medium,,91,282.43,RT-06,HCV
ORD-10165,Flipkart,SKU-1235,173,2026-04-16,2026-04-20,,Pending,Z-G,23,Medium,Stock Unavailable,361,1069.92,RT-01,HCV
ORD-10166,Swiggy Instamart,SKU-1193,151,2026-05-01,2026-05-04,,Pending,Z-H,9,High,Vehicle Breakdown,177,616.68,RT-11,HCV
ORD-10167,Swiggy Instamart,SKU-1085,162,2026-05-04,2026-05-07,,Cancelled,Z-D,0,Medium,,330,1086.83,RT-02,HCV
ORD-10168,Lenskart,SKU-1109,78,2026-05-05,2026-05-06,2026-05-06,Delivered,Z-D,0,Low,,385,1251.99,RT-12,LCV
ORD-10169,Boat Lifestyle,SKU-1048,156,2026-05-03,2026-05-06,2026-05-06,Delivered,Z-H,0,Medium,,112,416.83,RT-02,HCV
ORD-10170,Urban Company,SKU-1258,81,2026-04-30,2026-05-05,2026-05-04,Dispatched,Z-G,0,Medium,,324,988.84,RT-11,LCV
ORD-10171,Lenskart,SKU-1092,9,2026-04-23,2026-04-28,,Cancelled,Z-H,0,High,,343,1148.03,RT-12,Three Wheeler
ORD-10172,Pharmeasy,SKU-1272,162,2026-04-16,2026-04-20,,Cancelled,Z-A,0,Low,,107,408.57,RT-03,HCV
ORD-10173,Nykaa,SKU-1077,196,2026-04-22,2026-04-25,2026-04-29,Delayed,Z-F,4,Medium,Vehicle Breakdown,438,1248.11,RT-05,HCV
ORD-10174,Snapdeal,SKU-1131,180,2026-04-24,2026-04-26,2026-04-25,Dispatched,Z-C,0,High,,19,158.9,RT-05,HCV
ORD-10175,Ajio,SKU-1248,148,2026-04-30,2026-05-04,,Pending,Z-A,9,High,Picker Shortage,144,444.11,RT-05,HCV
ORD-10176,Pharmeasy,SKU-1281,50,2026-04-23,2026-04-24,,Cancelled,Z-H,0,High,,33,347.4,RT-02,Three Wheeler
ORD-10177,Mamaearth,SKU-1152,21,2026-04-15,2026-04-19,,Cancelled,Z-B,0,Medium,,487,1477.45,RT-03,Mini Truck
ORD-10178,BigBasket,SKU-1292,193,2026-04-27,2026-04-28,,Pending,Z-E,15,Medium,Zone Congestion,126,514.96,RT-06,HCV
ORD-10179,Swiggy Instamart,SKU-1299,193,2026-05-01,2026-05-03,,Cancelled,Z-D,0,High,,59,241.29,RT-05,HCV
