sku_id,product_name,category,warehouse_zone,current_stock,reorder_level,max_stock,unit_price,purchase_price,last_movement_date,avg_daily_sales,supplier_name,is_perishable,shelf_life_days,expiry_date,storage_cost_per_day,dead_stock_reason,competitor_price,return_policy,handling_cost_per_unit
SKU-1016,Bracket-Plus-234,Auto Parts,Z-H,221,216,747,2318.51,1853.37,2026-05-07,4.1,Infosys Materials,False,,,1.51,,,Returnable,4.68
SKU-1017,Module-Max-478,Auto Parts,Z-C,283,274,997,3355.92,2086.85,2026-04-01,5.6,Mahindra Parts Ltd.,False,,,9.85,,,Returnable,3.76
SKU-1018,Panel-Lite-388,Pharmaceuticals,Z-F,389,130,516,2468.23,1881.12,2026-05-10,5.1,Adani Industrial,True,171.0,2026-05-16,3.31,,,Partial Return,4.9
SKU-1019,Board-Ultra-552,Packaging Materials,Z-A,92,53,329,2750.67,2018.55,2026-04-06,27.8,Adani Industrial,False,,,2.38,,,Non-Returnable,1.95
SKU-1020,Connector-Lite-315,Pharmaceuticals,Z-B,429,220,824,4870.49,3408.33,2026-04-28,43.3,Mahindra Parts Ltd.,True,241.0,2026-05-19,1.89,,,Non-Returnable,4.05
SKU-1021,Fitting-Max-373,FMCG,Z-B,361,247,883,1037.89,796.46,2026-04-21,15.6,Infosys Materials,True,144.0,2026-05-15,1.1,,,Non-Returnable,4.35
SKU-1022,Bracket-Lite-756,Packaging Materials,Z-F,49,26,156,2923.92,2319.9,2026-05-11,5.9,Adani Industrial,False,,,2.04,,,Non-Returnable,2.29
SKU-1023,Capacitor-Pro-494,Pharmaceuticals,Z-E,34,48,190,3449.94,2677.52,2026-04-01,10.3,Adani Industrial,True,65.0,2026-06-26,8.12,,,Partial Return,4.27
SKU-1024,Fitting-Lite-619,Auto Parts,Z-G,227,161,768,999.61,665.71,2026-04-19,34.0,Mahindra Parts Ltd.,False,,,6.46,,,Non-Returnable,2.15
SKU-1025,Widget-Lite-393,Pharmaceuticals,Z-G,882,405,1709,2236.84,1499.24,2026-04-11,23.9,Hero Supply Corp.,True,116.0,2026-08-01,6.06,,,Partial Return,3.17
SKU-1026,Module-Max-788,Auto Parts,Z-D,125,314,1751,4920.48,3171.3,2026-05-09,23.0,Bajaj Distributors,False,,,1.94,,,Partial Return,3.54
SKU-1027,Relay-Plus-349,FMCG,Z-A,725,506,1928,3903.18,1902.94,2026-03-30,26.1,Reliance Logistics,True,315.0,2027-01-21,3.37,,,Non-Returnable,3.4
SKU-1028,Transformer-Standard-424,Chemicals,Z-G,678,515,1801,3731.09,2200.86,2026-04-27,37.7,Bajaj Distributors,True,171.0,2026-06-20,5.94,,,Returnable,1.52
SKU-1029,Module-Ultra-392,Pharmaceuticals,Z-E,226,155,787,796.61,440.7,2026-05-04,35.5,Tata Supply Co.,True,242.0,2026-08-25,7.33,,,Returnable,1.19
SKU-1030,Pump-Plus-888,Electronics,Z-G,562,162,1076,4274.57,3340.03,2026-04-17,27.1,Hero Supply Corp.,False,,,6.18,,,Partial Return,4.51
SKU-1031,Relay-Max-379,Packaging Materials,Z-H,85,33,159,3634.7,2675.87,2026-05-05,49.0,HCL Packaging,False,,,0.55,,,Non-Returnable,3.04
SKU-1032,Hose-Pro-185,Packaging Materials,Z-C,194,411,1875,1670.4,971.97,2026-04-22,38.2,Adani Industrial,False,,,9.95,,,Non-Returnable,1.41
SKU-1033,Module-Plus-119,Electronics,Z-F,159,138,559,3783.45,2950.5,2026-05-01,42.0,L&T Raw Materials,False,,,1.46,,,Returnable,2.47
SKU-1034,Sensor-Standard-323,Chemicals,Z-E,1329,342,1670,3752.23,1672.79,2026-05-03,48.3,Tata Supply Co.,True,326.0,2026-05-16,7.88,,,Non-Returnable,2.1
SKU-1035,Clamp-Max-177,Pharmaceuticals,Z-B,1020,405,1527,4037.36,2900.81,2026-04-07,39.2,Godrej Warehouse Supplies,True,302.0,2026-09-03,0.6,,,Partial Return,1.84
SKU-1036,Pump-Plus-208,Packaging Materials,Z-F,554,397,1401,2205.66,1529.67,2026-04-02,13.9,HCL Packaging,False,,,3.32,,,Non-Returnable,2.29
SKU-1037,Fitting-Standard-374,Industrial Tools,Z-D,753,522,1801,1257.12,736.53,2025-12-25,0.7,Wipro Components,False,,,2.63,Bulk Only,1189.57,Non-Returnable,4.03
SKU-1038,Gasket-Lite-710,Auto Parts,Z-A,208,338,1158,2468.46,1735.98,2026-03-30,24.1,Hero Supply Corp.,False,,,3.47,,,Returnable,0.65
SKU-1039,Cable-Plus-808,Pharmaceuticals,Z-E,890,346,1459,1751.6,1398.92,2026-04-08,16.9,Hero Supply Corp.,True,262.0,2026-11-27,6.15,,,Partial Return,1.12
SKU-1040,Sensor-Ultra-648,FMCG,Z-D,214,141,543,4903.53,3594.54,2026-02-04,0.4,Reliance Logistics,True,303.0,2026-05-04,1.19,Seasonal Product,4736.85,Partial Return,4.73
SKU-1041,Seal-Plus-205,Electronics,Z-E,288,235,1061,1299.77,967.92,2026-05-06,41.2,Adani Industrial,False,,,7.46,,,Partial Return,3.22
SKU-1042,Connector-Max-252,Auto Parts,Z-B,413,102,608,3000.83,1942.64,2026-04-10,19.3,Wipro Components,False,,,0.95,,,Partial Return,4.95
SKU-1043,Filter-Standard-735,Electronics,Z-B,385,301,1662,827.43,388.5,2026-03-04,0.8,Hero Supply Corp.,False,,,1.39,Obsolete Model,670.05,Non-Returnable,3.59
SKU-1044,Clamp-Plus-172,Pharmaceuticals,Z-E,1284,460,1713,4671.66,2663.11,2026-04-09,11.6,Mahindra Parts Ltd.,True,166.0,2026-10-08,5.3,,,Non-Returnable,3.06
SKU-1045,Adapter-Lite-549,Apparel,Z-H,574,295,1510,2527.34,1510.13,2026-05-08,30.1,Adani Industrial,False,,,1.97,,,Partial Return,1.4
SKU-1046,Module-Max-790,Electronics,Z-E,681,199,1280,2618.87,1510.8,2026-04-26,9.5,L&T Raw Materials,False,,,7.18,,,Non-Returnable,4.85
SKU-1047,Relay-Lite-518,Industrial Tools,Z-F,1461,243,1472,3483.68,1795.1,2026-04-18,40.8,HCL Packaging,False,,,1.11,,2788.62,Returnable,4.86
SKU-1048,Motor-Standard-944,Electronics,Z-H,660,149,946,3145.77,2214.61,2026-04-30,13.7,Mahindra Parts Ltd.,False,,,2.36,,,Non-Returnable,4.43
SKU-1049,Relay-Pro-129,Pharmaceuticals,Z-C,219,171,736,1162.27,856.08,2026-05-06,23.3,Tata Supply Co.,True,361.0,2026-08-27,18.89,,,Non-Returnable,2.64
SKU-1050,Bracket-Plus-954,Chemicals,Z-H,557,130,599,4613.25,2783.16,2026-05-05,43.3,Bharti Supply Chain,True,242.0,2026-06-23,1.52,,4082.04,Non-Returnable,4.22
SKU-1051,Adapter-Ultra-601,FMCG,Z-H,824,267,1203,1917.19,1482.26,2026-05-01,49.0,Infosys Materials,True,322.0,2026-09-02,0.59,,,Partial Return,2.47
SKU-1052,Motor-Plus-779,FMCG,Z-H,72,29,175,4355.02,3264.85,2026-04-15,5.4,Wipro Components,True,37.0,2026-06-13,2.24,,,Returnable,0.56
SKU-1053,Bracket-Lite-738,Packaging Materials,Z-B,1460,367,1844,1931.05,1017.02,2026-03-29,44.4,Wipro Components,False,,,1.81,,,Returnable,3.16
SKU-1054,Cable-Ultra-800,Auto Parts,Z-D,472,266,1629,2246.21,1522.03,2026-05-12,2.8,Reliance Logistics,False,,,1.23,,,Non-Returnable,2.27
SKU-1055,Cable-Standard-521,FMCG,Z-C,198,74,458,2513.45,1591.67,2026-04-29,23.3,Bharti Supply Chain,True,265.0,2027-01-31,18.58,,,Non-Returnable,4.53
SKU-1056,Hose-Standard-261,Apparel,Z-H,458,240,807,3467.05,2020.37,2026-04-24,10.4,Adani Industrial,False,,,2.21,,,Returnable,1.34
SKU-1057,Adapter-Lite-688,Auto Parts,Z-E,78,42,144,90.08,67.2,2026-05-10,45.6,Hero Supply Corp.,False,,,7.48,,,Non-Returnable,3.92
SKU-1058,Cable-Standard-921,Industrial Tools,Z-D,637,250,1403,3618.6,2401.57,2025-11-26,0.2,Bajaj Distributors,False,,,2.12,Better Competitor Product,3750.98,Returnable,2.98
SKU-1059,Fitting-Max-192,Auto Parts,Z-F,749,346,1630,2720.07,2145.04,2026-01-05,0.5,Mahindra Parts Ltd.,False,,,1.77,Better Competitor Product,2965.46,Non-Returnable,3.78
SKU-1060,Gasket-Pro-579,Apparel,Z-C,1226,484,1644,3388.31,1893.95,2026-04-08,18.6,Adani Industrial,False,,,8.1,,,Partial Return,0.79
SKU-1061,Bearing-Ultra-866,Auto Parts,Z-G,1130,438,1784,1207.42,495.05,2026-04-08,16.7,L&T Raw Materials,False,,,4.89,,,Returnable,3.25
SKU-1062,Switch-Ultra-409,Packaging Materials,Z-B,31,60,386,624.8,308.6,2026-04-09,7.2,Wipro Components,False,,,1.06,,,Partial Return,3.54
SKU-1063,Transformer-Plus-701,FMCG,Z-G,655,237,1441,4698.31,2405.05,2026-03-30,18.8,Wipro Components,True,257.0,2026-06-21,5.45,,,Partial Return,1.96
SKU-1064,Seal-Lite-162,Packaging Materials,Z-E,355,144,488,2300.85,1530.31,2026-04-02,32.2,Reliance Logistics,False,,,5.25,,,Non-Returnable,1.37
SKU-1065,Panel-Standard-310,Apparel,Z-D,574,237,1300,3883.12,2778.21,2026-04-05,0.6,Mahindra Parts Ltd.,False,,,2.97,,,Partial Return,1.4
SKU-1066,Board-Pro-776,Electronics,Z-C,102,26,130,1652.67,776.26,2026-05-10,6.8,Adani Industrial,False,,,11.68,,,Partial Return,0.51
SKU-1067,Switch-Lite-625,Apparel,Z-H,882,207,1131,2631.18,1534.55,2026-05-12,3.5,Wipro Components,False,,,2.19,,,Non-Returnable,3.49
SKU-1068,Relay-Ultra-554,Apparel,Z-B,70,183,759,3140.37,1991.45,2026-03-29,16.6,L&T Raw Materials,False,,,1.3,,,Non-Returnable,2.63
SKU-1069,Pump-Pro-912,Apparel,Z-D,387,213,980,4145.73,2319.5,2025-12-10,0.9,Bajaj Distributors,False,,,1.14,High Price,4170.8,Non-Returnable,0.52
SKU-1070,Module-Pro-542,Apparel,Z-F,287,298,1762,2830.33,1890.68,2026-04-17,18.0,Bajaj Distributors,False,,,3.82,,,Non-Returnable,4.37
SKU-1071,Fitting-Pro-394,Auto Parts,Z-F,135,73,312,1160.01,514.22,2025-11-25,0.2,Bharti Supply Chain,False,,,2.72,No Marketing Push,1222.12,Partial Return,3.15
SKU-1072,Seal-Standard-126,Auto Parts,Z-A,263,89,469,1787.57,844.74,2026-05-04,28.5,Adani Industrial,False,,,2.21,,,Partial Return,3.24
SKU-1073,Widget-Pro-864,Pharmaceuticals,Z-G,894,209,959,3621.9,2574.21,2026-04-07,30.0,Reliance Logistics,True,109.0,2026-06-12,4.2,,3037.41,Non-Returnable,2.53
SKU-1074,Switch-Plus-379,Pharmaceuticals,Z-B,520,172,806,2986.01,1823.78,2026-04-24,2.7,Adani Industrial,True,336.0,2026-05-15,0.95,,,Returnable,3.88
SKU-1075,Bracket-Lite-435,Apparel,Z-A,1144,292,1118,2686.28,1321.77,2026-04-08,41.8,Godrej Warehouse Supplies,False,,,2.22,,2183.11,Returnable,2.41
SKU-1076,Module-Lite-689,Packaging Materials,Z-G,797,382,1553,153.24,81.2,2026-04-04,23.3,Hero Supply Corp.,False,,,7.68,,,Returnable,2.3
SKU-1077,Sensor-Max-546,Packaging Materials,Z-B,369,255,910,1698.69,793.72,2026-04-11,31.8,HCL Packaging,False,,,1.26,,,Non-Returnable,1.89
SKU-1078,Seal-Max-341,Apparel,Z-C,448,112,624,423.0,330.16,2026-04-03,25.0,L&T Raw Materials,False,,,13.32,,,Non-Returnable,3.47
SKU-1079,Adapter-Ultra-750,Industrial Tools,Z-F,250,88,409,1548.96,789.77,2026-05-10,17.9,Tata Supply Co.,False,,,1.93,,,Non-Returnable,0.38
SKU-1080,Bearing-Lite-178,Apparel,Z-G,291,248,1047,2276.18,1647.79,2026-04-02,9.8,L&T Raw Materials,False,,,5.9,,,Returnable,4.8
SKU-1081,Switch-Pro-930,Industrial Tools,Z-B,224,279,1133,4955.38,3020.94,2026-04-04,8.4,Godrej Warehouse Supplies,False,,,1.88,,,Non-Returnable,2.16
SKU-1082,Gasket-Ultra-712,Electronics,Z-F,145,46,234,1456.53,1004.27,2026-04-01,48.2,L&T Raw Materials,False,,,3.62,,,Non-Returnable,0.59
SKU-1083,Hose-Max-458,Auto Parts,Z-G,167,87,364,2816.66,1851.66,2026-04-22,40.8,Bajaj Distributors,False,,,6.81,,,Partial Return,4.99
SKU-1084,Capacitor-Pro-761,Packaging Materials,Z-F,129,28,137,1741.58,1230.36,2026-05-01,11.7,Mahindra Parts Ltd.,False,,,1.46,,1580.7,Partial Return,3.9
SKU-1085,Fitting-Standard-138,Industrial Tools,Z-C,1443,273,1323,4054.77,1890.4,2026-04-15,2.7,Godrej Warehouse Supplies,False,,,12.73,,3401.3,Non-Returnable,3.81
SKU-1086,Switch-Max-646,Pharmaceuticals,Z-E,669,470,1756,1870.81,1457.08,2026-04-15,23.4,Bharti Supply Chain,True,225.0,2026-09-08,9.83,,,Returnable,4.05
SKU-1087,Panel-Lite-153,Chemicals,Z-F,887,358,1235,4263.27,2191.43,2026-05-03,14.0,HCL Packaging,True,105.0,2026-08-15,3.84,,,Returnable,4.12
SKU-1088,Bearing-Pro-524,Electronics,Z-G,316,232,1128,1905.82,783.82,2026-05-07,42.0,Bajaj Distributors,False,,,5.34,,,Returnable,0.86
SKU-1089,Filter-Plus-812,FMCG,Z-H,266,246,1018,1316.82,966.53,2026-04-08,47.0,L&T Raw Materials,True,300.0,2026-10-13,0.98,,,Returnable,0.43
SKU-1090,Pump-Ultra-912,Chemicals,Z-B,228,90,327,131.35,79.62,2026-04-28,36.1,Bharti Supply Chain,True,249.0,2026-05-16,0.86,,,Non-Returnable,1.1
SKU-1091,Hose-Pro-636,Industrial Tools,Z-B,792,272,1177,2793.05,1553.44,2026-04-13,2.7,Adani Industrial,False,,,1.97,,,Non-Returnable,3.79
SKU-1092,Bearing-Pro-453,Pharmaceuticals,Z-B,535,398,1680,269.46,166.64,2026-04-02,9.2,Bajaj Distributors,True,267.0,2026-10-05,1.45,,,Returnable,0.5
SKU-1093,Switch-Pro-400,Pharmaceuticals,Z-A,158,309,1720,2601.15,2069.6,2026-04-09,23.9,Reliance Logistics,True,361.0,2026-11-08,4.59,,,Returnable,4.36
SKU-1094,Gasket-Lite-227,Industrial Tools,Z-G,1195,403,1921,1728.23,820.44,2026-03-30,25.1,HCL Packaging,False,,,5.07,,,Returnable,3.69
SKU-1095,Module-Plus-716,FMCG,Z-E,277,125,757,1567.15,1004.62,2026-04-16,8.7,Wipro Components,True,209.0,2026-09-09,8.07,,,Non-Returnable,1.52
SKU-1096,Connector-Pro-787,Packaging Materials,Z-F,342,310,1150,756.76,486.62,2026-04-15,2.2,Tata Supply Co.,False,,,1.71,,,Partial Return,1.96
SKU-1097,Motor-Standard-133,FMCG,Z-H,470,176,859,731.59,400.02,2026-04-23,32.7,Infosys Materials,True,88.0,2026-05-15,1.5,,,Non-Returnable,4.59
SKU-1098,Sensor-Lite-893,Auto Parts,Z-H,413,161,539,1040.88,472.86,2026-05-09,22.9,Hero Supply Corp.,False,,,1.39,,,Returnable,4.09
SKU-1099,Gasket-Ultra-455,Apparel,Z-E,1999,375,1925,4640.26,3039.74,2026-04-20,25.7,Tata Supply Co.,False,,,9.93,,4041.76,Non-Returnable,0.33
SKU-1100,Transformer-Standard-477,Chemicals,Z-C,203,382,1353,4998.0,3436.36,2026-04-10,20.8,Adani Industrial,True,324.0,2026-05-16,16.25,,,Non-Returnable,2.44
SKU-1101,Capacitor-Lite-231,FMCG,Z-C,350,222,986,2614.61,1363.91,2026-05-03,16.5,Hero Supply Corp.,True,145.0,2026-07-31,18.54,,,Returnable,1.4
SKU-1102,Seal-Standard-381,FMCG,Z-E,485,312,1358,2979.45,1883.78,2026-05-03,33.1,Hero Supply Corp.,True,339.0,2026-07-03,5.21,,,Returnable,0.59
SKU-1103,Seal-Standard-371,Pharmaceuticals,Z-G,978,335,1365,2750.61,1806.5,2026-04-24,24.4,Bajaj Distributors,True,237.0,2026-12-18,6.75,,,Returnable,2.31
SKU-1104,Relay-Plus-308,Industrial Tools,Z-C,383,206,740,4878.1,2206.4,2026-04-20,26.0,Tata Supply Co.,False,,,10.23,,,Non-Returnable,0.79
SKU-1105,Switch-Max-244,Apparel,Z-A,417,202,694,1278.94,954.25,2026-05-03,40.8,L&T Raw Materials,False,,,4.16,,,Returnable,3.86
SKU-1106,Relay-Standard-578,Chemicals,Z-E,689,171,1118,2313.29,1148.07,2026-04-06,18.0,Reliance Logistics,True,174.0,2026-07-06,6.43,,,Returnable,4.27
SKU-1107,Pump-Max-370,Industrial Tools,Z-G,49,133,849,1844.49,950.73,2026-04-19,25.5,HCL Packaging,False,,,5.12,,,Partial Return,3.47
SKU-1108,Sensor-Max-199,Packaging Materials,Z-F,889,514,1727,3787.08,1816.37,2026-04-11,20.4,Reliance Logistics,False,,,1.14,,,Returnable,3.63
SKU-1109,Relay-Standard-567,FMCG,Z-C,425,223,771,4953.55,3446.32,2026-04-24,29.9,HCL Packaging,True,290.0,2026-09-27,14.72,,,Returnable,1.97
SKU-1110,Hose-Pro-526,Auto Parts,Z-A,885,292,1322,2909.29,2003.22,2026-04-06,24.3,HCL Packaging,False,,,3.89,,,Partial Return,3.92
SKU-1111,Motor-Max-941,Pharmaceuticals,Z-A,9,371,1272,2233.14,1267.33,2026-04-17,34.7,Adani Industrial,True,286.0,2026-06-27,4.62,,,Partial Return,3.69
SKU-1112,Clamp-Max-631,Pharmaceuticals,Z-F,500,322,1456,2325.33,1426.01,2026-04-09,18.0,Hero Supply Corp.,True,359.0,2026-12-23,2.83,,,Returnable,4.8
SKU-1113,Bracket-Standard-405,Pharmaceuticals,Z-E,825,324,1679,1619.35,873.67,2025-11-14,1.4,Bharti Supply Chain,True,92.0,2026-04-06,8.38,Poor Quality Feedback,1730.64,Non-Returnable,4.13
SKU-1114,Panel-Lite-143,Auto Parts,Z-B,616,233,809,2421.44,1164.29,2026-04-09,13.9,HCL Packaging,False,,,1.54,,,Returnable,0.72
SKU-1115,Fitting-Standard-345,Pharmaceuticals,Z-A,540,420,1471,309.83,175.15,2025-12-12,1.4,Mahindra Parts Ltd.,True,32.0,2026-04-07,4.93,Seasonal Product,285.69,Non-Returnable,2.49
SKU-1116,Valve-Lite-428,Auto Parts,Z-A,995,519,1959,2699.0,1860.28,2026-05-11,45.7,Mahindra Parts Ltd.,False,,,3.25,,,Returnable,4.68
SKU-1117,Connector-Plus-906,Chemicals,Z-C,519,480,1633,95.87,60.13,2026-05-07,46.5,Godrej Warehouse Supplies,True,175.0,2026-06-18,15.17,,,Returnable,4.29
SKU-1118,Switch-Lite-297,Apparel,Z-F,296,112,432,971.69,674.98,2026-04-25,28.6,Infosys Materials,False,,,1.53,,,Partial Return,4.51
SKU-1119,Pump-Standard-435,Apparel,Z-G,730,241,1470,1651.83,824.62,2026-04-27,19.5,Wipro Components,False,,,7.02,,,Non-Returnable,1.65
SKU-1120,Fitting-Standard-111,Auto Parts,Z-F,758,281,1518,1568.69,881.87,2026-04-11,46.2,Hero Supply Corp.,False,,,3.31,,,Partial Return,0.76
SKU-1121,Filter-Lite-729,Pharmaceuticals,Z-D,238,82,373,1899.44,1293.09,2026-04-13,38.0,Bajaj Distributors,True,141.0,2026-07-06,2.39,,,Returnable,2.72
SKU-1122,Capacitor-Ultra-470,Apparel,Z-B,87,61,226,2884.87,1326.87,2026-04-23,42.8,Wipro Components,False,,,0.67,,,Returnable,3.64
SKU-1123,Relay-Pro-622,Chemicals,Z-A,752,174,1028,335.8,196.43,2026-04-24,36.3,Adani Industrial,True,160.0,2026-08-26,3.73,,,Returnable,2.23
SKU-1124,Clamp-Pro-654,Electronics,Z-B,303,164,1066,3840.85,3039.39,2026-04-02,48.2,Godrej Warehouse Supplies,False,,,1.99,,,Non-Returnable,2.35
SKU-1125,Motor-Plus-182,FMCG,Z-F,196,60,342,680.37,538.51,2026-05-13,37.9,Bharti Supply Chain,True,267.0,2026-09-18,2.27,,,Non-Returnable,4.15
SKU-1126,Cable-Plus-454,FMCG,Z-E,170,141,486,209.48,139.11,2026-04-04,38.4,Reliance Logistics,True,153.0,2026-10-01,7.97,,,Non-Returnable,3.07
SKU-1127,Clamp-Pro-350,Electronics,Z-G,213,184,998,743.67,593.0,2026-02-12,1.5,Godrej Warehouse Supplies,False,,,6.31,Poor Quality Feedback,647.79,Returnable,4.93
SKU-1128,Capacitor-Max-523,Auto Parts,Z-E,147,52,224,4562.31,2967.31,2026-04-16,28.0,Reliance Logistics,False,,,9.86,,,Partial Return,3.42
SKU-1129,Capacitor-Lite-813,Packaging Materials,Z-G,412,78,405,2393.92,1770.87,2026-04-24,42.9,Mahindra Parts Ltd.,False,,,7.22,,2319.03,Non-Returnable,2.87
SKU-1130,Panel-Plus-348,Auto Parts,Z-D,381,191,776,507.7,350.23,2026-05-01,3.1,Adani Industrial,False,,,2.18,,,Partial Return,0.39
SKU-1131,Module-Max-923,Pharmaceuticals,Z-H,155,147,527,1098.45,522.87,2026-05-06,37.5,Wipro Components,True,154.0,2026-07-16,0.91,,,Returnable,2.85
SKU-1132,Filter-Plus-577,Industrial Tools,Z-E,368,129,635,538.11,426.47,2026-04-13,38.2,Godrej Warehouse Supplies,False,,,9.57,,,Non-Returnable,1.7
SKU-1133,Connector-Standard-984,Pharmaceuticals,Z-C,100,25,133,3614.06,1872.36,2026-05-01,16.8,Adani Industrial,True,321.0,2026-07-18,15.4,,,Partial Return,1.82
SKU-1134,Relay-Ultra-757,Chemicals,Z-H,151,115,444,3615.55,2152.43,2026-04-09,49.5,Reliance Logistics,True,298.0,2026-05-20,0.65,,,Partial Return,0.43
SKU-1135,Widget-Plus-240,Pharmaceuticals,Z-B,501,267,1548,1897.34,1227.83,2025-12-18,1.8,Bajaj Distributors,True,279.0,2026-05-11,0.51,Obsolete Model,1752.01,Returnable,2.74
SKU-1136,Bracket-Standard-393,Electronics,Z-G,1537,509,1751,2645.71,1313.3,2026-04-04,26.6,Godrej Warehouse Supplies,False,,,5.07,,2181.68,Non-Returnable,2.4
SKU-1137,Cable-Ultra-331,Auto Parts,Z-B,462,429,1438,512.83,282.93,2026-04-08,24.1,Bajaj Distributors,False,,,0.51,,,Returnable,0.6
SKU-1138,Pump-Ultra-903,Industrial Tools,Z-B,108,442,1932,4511.3,3053.77,2026-04-07,24.0,Reliance Logistics,False,,,1.89,,,Partial Return,4.64
SKU-1139,Transformer-Standard-773,Electronics,Z-C,658,362,1841,3773.66,2585.28,2026-04-18,46.5,Bharti Supply Chain,False,,,9.14,,,Returnable,2.92
SKU-1140,Motor-Ultra-653,Industrial Tools,Z-G,1135,429,1647,3634.61,2181.92,2026-04-21,3.2,Adani Industrial,False,,,4.93,,,Returnable,1.83
SKU-1141,Coupler-Standard-506,Industrial Tools,Z-A,770,267,1398,1179.29,732.59,2026-04-19,21.9,Bajaj Distributors,False,,,3.76,,,Non-Returnable,0.61
SKU-1142,Coupler-Lite-917,Pharmaceuticals,Z-B,213,50,268,813.67,452.28,2026-04-20,5.8,Reliance Logistics,True,187.0,2026-09-08,0.65,,,Returnable,1.1
SKU-1143,Switch-Standard-668,Packaging Materials,Z-B,102,25,153,3010.32,1594.78,2026-04-19,1.1,Adani Industrial,False,,,1.08,,,Returnable,3.68
SKU-1144,Transformer-Max-685,FMCG,Z-G,329,76,447,772.38,360.61,2026-04-26,21.3,Wipro Components,True,69.0,2026-07-06,6.88,,,Non-Returnable,3.05
SKU-1145,Valve-Plus-209,FMCG,Z-E,73,33,113,1930.46,1437.96,2026-04-15,17.1,Bajaj Distributors,True,334.0,2026-05-16,8.02,,,Partial Return,1.16
SKU-1146,Gasket-Max-507,Industrial Tools,Z-E,998,408,1605,3920.77,2079.4,2026-04-26,40.9,Adani Industrial,False,,,6.83,,,Partial Return,1.16
SKU-1147,Transformer-Max-798,Electronics,Z-H,1133,281,1550,3479.53,2531.66,2026-04-17,33.8,Mahindra Parts Ltd.,False,,,1.77,,,Returnable,1.41
SKU-1148,Panel-Ultra-533,Packaging Materials,Z-B,510,304,1019,2695.12,2073.62,2026-03-30,21.2,Reliance Logistics,False,,,1.69,,,Non-Returnable,3.57
SKU-1149,Transformer-Standard-753,Apparel,Z-B,654,313,1674,3252.65,1358.69,2026-04-02,34.0,Adani Industrial,False,,,1.95,,,Non-Returnable,4.84
